Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
1177167,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,77068,Web,12/31/2014,12/31/2014,Ad Astra Recovery Services Inc,Closed with explanation,Yes,
1177166,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,77068,Web,12/31/2014,12/31/2014,"Unique Management Services, Inc",Closed with explanation,Yes,
1177165,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,77068,Web,12/31/2014,12/31/2014,"CL Holdings, LLC",Closed with monetary relief,Yes,
1177164,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,77068,Web,12/31/2014,12/31/2014,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1177163,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,77068,Web,12/31/2014,12/31/2014,"Enhanced Acquisitions, LLC",Closed with explanation,Yes,
1177162,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,77068,Web,12/31/2014,12/31/2014,"Credit Systems International, Inc.",Closed with explanation,Yes,
1177154,Credit card,,Billing disputes,,GA,31322,Web,12/31/2014,01/07/2015,Amex,Closed with explanation,Yes,
1177143,Debt collection,Payday loan,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,AZ,85023,Web,12/31/2014,01/07/2015,Speedy Cash Holdings,Closed,Yes,
1177140,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,77045,Web,12/31/2014,12/31/2014,"Afni, Inc.",Closed with explanation,Yes,
1177139,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,77045,Web,12/31/2014,12/31/2014,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1177136,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,NY,11221,Web,12/31/2014,01/08/2015,Discover,Closed with explanation,Yes,
1177128,Bank account or service,Checking account,Deposits and withdrawals,,PA,19012,Phone,12/31/2014,01/05/2015,Bank of America,Closed with non-monetary relief,Yes,
1177125,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,AL,35224,Web,12/31/2014,12/31/2014,"Afni, Inc.",Closed with explanation,Yes,
1177124,Debt collection,Payday loan,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,AZ,85225,Web,12/31/2014,01/08/2015,Triple AC Resolutions,Untimely response,No,
1177116,Debt collection,Medical,Communication tactics,Used obscene/profane/abusive language,IL,60047,Web,12/31/2014,12/31/2014,"ATG Credit, LLC",Closed with explanation,Yes,
1177114,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,77479,Web,12/31/2014,12/31/2014,"Certified Recovery Systems, Inc.",Closed with non-monetary relief,Yes,
1177196,Credit reporting,,Incorrect information on credit report,Account terms,VA,23834,Web,12/31/2014,12/31/2014,Equifax,In progress,Yes,
1177113,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,77479,Web,12/31/2014,12/31/2014,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1177112,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,77479,Web,12/31/2014,12/31/2014,"HCFS Health Care Financial Services, Inc.",Closed with explanation,Yes,
1177101,Credit card,,Unsolicited issuance of credit card,,NJ,07080,Referral,12/31/2014,01/07/2015,Discover,Closed with explanation,Yes,
1177100,Bank account or service,Checking account,"Account opening, closing, or management",,MN,55416,Web,12/31/2014,12/31/2014,Wells Fargo,Closed with explanation,Yes,
1177095,Credit reporting,,Incorrect information on credit report,Public record,OR,97322,Web,12/31/2014,12/31/2014,First Advantage Corporation,Closed with explanation,Yes,
1177091,Credit reporting,,Incorrect information on credit report,Personal information,OR,97058,Referral,12/31/2014,01/20/2015,Experian,Closed with non-monetary relief,Yes,
1177085,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,FL,32092,Web,12/31/2014,01/07/2015,Ocwen,Closed with explanation,Yes,Yes
